the 992
and 733
of 664
to 662
I 580
you 530
a 476
my 422
in 408
it 365
Ham 338
is 329
not 297
that 279
his 276
d 267
this 258
And 250
s 235
your 233
with 227
me 213
be 211
lord 198
for 197
him 192
he 183
have 158
but 157
as 156
so 154
will 153
The 151
do 137
To 132
on 128
King 127
are 126
That 125
we 121
what 118
our 116
or 116
by 115
all 114
O 112
Hor 105
shall 102
But 102
no 100
What 96
Hamlet 95
more 91
thou 90
t 89
Queen 89
from 87
Pol 86
her 85
at 83
A 83
if 82
good 80
they 79
was 79
know 77
may 76
like 75
ll 74
them 73
now 73
As 73
us 72
My 70
thy 70
most 70
father 69
come 69
would 69
For 68
there 66
love 65
well 62
Enter 62
sir 61
king 61
let 59
very 58
Oph 58
must 58
hath 56
such 56
How 55
This 55
You 55
man 54
It 54
Ros 53
their 53
did 53
should 53
go 52
speak 52
thee 52
an 52
one 51
out 51
some 50
say 50
If 50
think 47
Laer 47
much 47
Why 46
night 46
tis 46
time 46
Clown 46
am 45
We 45
too 44
make 44
Horatio 44
then 44
these 44
see 44
With 43
So 43
here 43
which 43
she 41
He 41
No 40
heaven 40
upon 39
Laertes 39
mother 39
o 39
than 39
1 39
Exit 38
give 38
Polonius 38
own 37
Of 37
up 37
had 36
tell 36
Mar 35
Let 35
soul 35
Exeunt 35
In 35
Guil 35
death 34
play 34
how 33
Ay 33
can 33
other 32
life 32
Or 32
thus 31
Ophelia 31
down 31
made 31
might 31
God 30
when 30
again 30
into 29
Guildenstern 29
where 29
hear 28
There 28
heart 28
cannot 28
mine 28
take 28
head 27
Is 27
who 27
nothing 27
matter 27
nature 27
look 27
could 27
Project 27
dead 26
When 26
any 26
day 26
yet 26
dear 26
Tis 26
Ghost 26
great 26
been 25
Denmark 25
etext 25
part 25
Where 25
leave 25
Good 25
were 25
Do 25
Rosencrantz 25
world 24
away 24
true 24
earth 23
Come 23
By 23
show 23
comes 23
hold 23
done 22
Now 22
call 22
sweet 22
pray 22
Nay 22
eyes 22
those 22
doth 22
itself 22
nor 22
i 22
set 21
means 21
queen 21
fair 21
whose 21
seen 21
Ber 21
indeed 21
er 21
son 20
Scene 20
both 20
put 20
Osr 19
blood 19
thing 19
two 19
poor 19
They 19
fear 19
old 19
within 19
madness 19
keep 19
does 19
Lord 19
Which 19
against 19
little 18
Go 18
form 18
himself 18
Will 18
end 18
find 18
Gutenberg 18
though 18
about 18
before 18
words 18
hand 18
use 18
ear 17
even 17
body 17
Who 17
never 17
still 17
better 17
mad 17
Give 17
many 17
Then 17
grave 17
England 17
once 17
friends 17
else 17
first 16
2 16
long 16
without 16
speech 16
watch 16
Be 16
sword 16
majesty 16
follow 16
His 15
last 15
Have 15
believe 15
players 15
tongue 15
thoughts 15
why 15
please 15
word 15
daughter 15
Upon 15
noble 15
Nor 15
off 15
room 15
said 15
st 15
state 15
Your 15
youth 15
art 15
cause 15
young 14
something 14
question 14
brother 14
Castle 14
reason 14
hast 14
heard 14
has 14
ever 14
mind 14
gone 14
en 14
makes 14
eye 14
yourself 14
bed 14
Not 14
work 14
Norway 13
further 13
bear 13
duty 13
ourselves 13
answer 13
men 13
sent 13
friend 13
welcome 13
lady 13
Well 13
live 13
act 13
Rey 13
between 13
air 13
stand 13
Look 13
things 13
spirit 13
grief 13
All 13
Most 13
At 13
mark 13
gentleman 13
Than 13
Did 13
grace 12
hands 12
Here 12
free 12
Thou 12
return 12
thousand 12
goes 12
get 12
rest 12
Fortinbras 12
myself 12
sense 12
Marcellus 12
Gertrude 12
kind 12
Sings 12
fit 12
saw 12
honour 12
passion 12
haste 12
Would 12
right 11
business 11
wind 11
faith 11
fire 11
From 11
Sir 11
seem 11
same 11
deed 11
foul 11
Our 11
purpose 11
after 11
Yet 11
virtue 11
fellow 11
villain 11
thought 11
each 11
uncle 11
e 11
sleep 11
till 11
oft 11
murder 11
turn 11
fine 10
bring 10
second 10
Thus 10
ere 10
awhile 10
near 10
thine 10
best 10
P 10
none 10
action 10
only 10
full 10
phrase 10
husband 10
Within 10
ha 10
days 10
ground 10
given 10
gentlemen 10
command 10
far 10
walk 10
OR 10
honest 10
hell 10
way 10
alone 10
stay 10
sure 10
ho 10
receive 10
through 10
Pyrrhus 10
mean 10
help 10
fortune 10
name 10
skull 10
face 10
remember 10
Alas 10
enter 9
hour 9
kill 9
law 9
Farewell 9
strange 9
revenge 9
therefore 9
since 9
Whose 9
month 9
three 9
note 9
lie 9
offence 9
voice 9
She 9
Make 9
light 9
together 9
dost 9
Since 9
takes 9
May 9
Etexts 9
age 9
Indeed 9
person 9
aught 9
seal 9
every 9
place 9
another 9
marry 9
arms 9
fall 9
news 9
Bernardo 9
particular 9
memory 9
being 9
judgment 8
thank 8
list 8
peace 8
almost 8
joy 8
pardon 8
Attendants 8
lost 8
doubt 8
says 8
farewell 8
sun 8
One 8
late 8
times 8
fashion 8
Aside 8
Are 8
charge 8
excellent 8
hope 8
woman 8
shame 8
understand 8
drown 8
less 8
quick 8
custom 8
wife 8
beseech 8
while 8
back 8
grow 8
twere 8
gave 8
year 8
These 8
Fran 8
power 8
Take 8
Till 8
letters 8
copyright 8
Was 8
neither 8
meet 8
service 8
lordship 8
ears 8
Elsinore 8
sea 8
looks 7
lay 7
came 7
Play 7
Players 7
shows 7
rank 7
piece 7
already 7
fool 7
Even 7
dust 7
noise 7
Speak 7
draw 7
Capt 7
Swear 7
beg 7
general 7
sit 7
devil 7
sister 7
wilt 7
Voltimand 7
hither 7
desire 7
enough 7
seek 7
loves 7
TO 7
Like 7
effect 7
tears 7
water 7
maid 7
music 7
wrong 7
coming 7
whole 7
OF 7
common 7
either 7
ill 7
PROJECT 7
needs 7
black 7
forth 7
top 7
GUTENBERG 7
try 7
lose 7
Marry 7
Re 7
Hath 7
lack 7
Both 7
known 7
wish 7
ghost 7
wholesome 7
YOU 7
woe 7
obey 7
breath 6
point 6
dumb 6
beauty 6
Faith 6
die 6
wit 6
brain 6
Cornelius 6
round 6
fault 6
damn 6
marriage 6
mercy 6
II 6
house 6
Therefore 6
Wherein 6
need 6
conscience 6
beard 6
vile 6
cold 6
read 6
Pray 6
cock 6
Never 6
proof 6
books 6
soft 6
falls 6
rather 6
Reynaldo 6
Very 6
drink 6
guilty 6
feed 6
shape 6
bad 6
lies 6
truth 6
hot 6
buried 6
fell 6
choose 6
Christian 6
beast 6
Her 6
brought 6
dream 6
circumstance 6
false 6
seems 6
double 6
laugh 6
slave 6
choice 6
sight 6
gifts 6
move 6
On 6
Danish 6
thanks 6
vows 6
home 6
copy 6
Courtier 6
season 6
speaks 6
desperate 6
fly 6
herself 6
below 6
sound 6
dull 6
wicked 6
More 6
c 6
cast 6
Though 6
heavy 6
withal 6
wisdom 6
next 6
discourse 6
An 6
knew 6
ambition 6
court 6
appear 6
wager 5
found 5
Osric 5
yours 5
went 5
table 5
souls 5
sorrow 5
Get 5
heavens 5
themselves 5
figure 5
shalt 5
flesh 5
anything 5
wouldst 5
million 5
pale 5
morrow 5
University 5
morning 5
health 5
door 5
short 5
Dost 5
truly 5
money 5
struck 5
certain 5
sick 5
six 5
dare 5
colour 5
bound 5
spirits 5
laid 5
quiet 5
fee 5
eat 5
Shakespeare 5
French 5
send 5
Shall 5
Alexander 5
madam 5
Without 5
Welcome 5
country 5
over 5
Madam 5
new 5
poison 5
writ 5
Out 5
honesty 5
Carnegie 5
safety 5
brains 5
toward 5
ten 5
Must 5
Print 5
medium 5
twas 5
mortal 5
fat 5
Could 5
damned 5
bloody 5
touch 5
author 5
base 5
slain 5
course 5
Thy 5
etexts 5
others 5
hard 5
carriages 5
tm 5
sudden 5
disposition 5
patience 5
received 5
longer 5
prison 5
gracious 5
danger 5
humbly 5
Small 5
Such 5
burial 5
Mellon 5
told 5
Mother 5
pass 5
visit 5
natural 5
teach 5
property 5
present 5
countenance 5
France 5
land 5
Another 5
files 5
commission 5
horse 5
break 5
forgot 5
Priam 5
twelve 5
moon 5
above 5
gentle 5
hart 5
FOR 5
image 5
Had 5
visage 5
arras 5
distribute 5
took 5
whom 5
Reads 5
nunnery 5
stood 5
Hold 5
knave 5
liberty 5
crown 5
statement 5
blessing 5
pate 4
behind 4
file 4
brief 4
straight 4
Mad 4
often 4
org 4
brow 4
entertainment 4
twice 4
open 4
fight 4
